Class_Name,Area,Perimeter,Mean,Std_Dev,Max_Value,Min_Value,Contrast,Dissimilarity,Homogeneity,Energy
A00026.pgm,11.0,14.828427076339722,187.5,112.5,255,0,12192.1875,47.8125,0.8125028834619998,0.6658523672707036
A00027.pgm,12.0,14.828427076339722,194.60526315789474,108.4118704594183,255,0,10837.5,42.5,0.8333358964106664,0.6972166887783963
A00028.pgm,12.5,16.242640614509583,189.125,111.61814088668562,255,0,11475.0,45.0,0.823532125611294,0.6762019927123084
A00029.pgm,2.0,5.656854152679443,188.57142857142858,111.92198449029082,255,0,11998.660714285716,47.05357142857143,0.8154790281689521,0.6702047906806151
A00030.pgm,9.0,12.828427076339722,188.41666666666666,112.00629322597112,255,0,11092.5,43.5,0.8294143880909175,0.6770841207519155
A00031.pgm,11.5,14.242640614509583,191.95833333333334,110.0062419314872,255,0,11092.5,43.5,0.8294143880909175,0.6870401891107152
A00032.pgm,10.5,14.242640614509583,188.56578947368422,111.92506133996835,255,0,10476.25,41.083333333333336,0.838891366530311,0.6827120029795475
A00033.pgm,12.0,14.828427076339722,193.00751879699249,109.38471091090234,255,0,10321.42857142857,40.476190476190474,0.8412722822958729,0.6963754960505705
A00034.pgm,14.5,16.242640614509583,191.85714285714286,110.06547216663955,255,0,10104.135338345865,39.62406015037594,0.844613918458065,0.6952211095242983
A00035.pgm,120.5,83.01219260692596,196.984126984127,106.90278807053498,255,0,11292.857142857143,44.285714285714285,0.8263332029825433,0.7005433678841501
A00036.pgm,12.5,16.242640614509583,192.66666666666666,109.58811776627772,255,0,11475.0,45.0,0.823532125611294,0.6862969184016583
A00037.pgm,12.5,16.242640614509583,190.54166666666666,110.82417725338135,255,0,11475.0,45.0,0.823532125611294,0.6801816366409266
A00038.pgm,11.5,14.242640614509583,188.601108033241,111.90578446671203,255,0,10647.368421052632,41.75438596491228,0.8362598280525846,0.6815061263001765
A00039.pgm,8.0,12.828427076339722,189.83333333333334,111.22412308287961,255,0,11092.5,43.5,0.8294143880909175,0.6810078019359087
A00040.pgm,10.0,14.828427076339722,187.5,112.5,255,0,12192.1875,47.8125,0.8125028834619998,0.6658523672707036
A00041.pgm,13.5,16.242640614509583,191.92105263157896,110.02807813389877,255,0,10837.5,42.5,0.8333358964106665,0.6893815442701138
A00042.pgm,10.0,12.828427076339722,188.88888888888889,111.7481736807705,255,0,10928.57142857143,42.85714285714286,0.8319353577250419,0.6796109349612994
A00043.pgm,12.0,14.828427076339722,190.57894736842104,110.80296204926998,255,0,10476.25,41.083333333333336,0.838891366530311,0.6882837844241535
A00044.pgm,14.5,18.242640614509583,194.28571428571428,108.60901604998979,255,0,11009.52380952381,43.17460317460317,0.8306904344489311,0.6950073304537124
A00045.pgm,9.0,12.828427076339722,191.09022556390977,110.51033079640598,255,0,9977.380952380952,39.12698412698413,0.8465632062193438,0.6935254690461421
A00046.pgm,12.5,16.242640614509583,189.0,111.6870628139177,255,0,12192.1875,47.8125,0.8125028834619998,0.6700046641628699
A00047.pgm,12.5,16.242640614509583,190.54166666666666,110.82417725338135,255,0,11475.0,45.0,0.823532125611294,0.6801816366409266
A00048.pgm,13.0,14.828427076339722,190.57894736842104,110.80296204926998,255,0,10476.25,41.083333333333336,0.838891366530311,0.6882837844241535
A00049.pgm,4.0,7.656854152679443,194.96031746031747,108.19129155414122,255,0,12021.428571428572,47.142857142857146,0.815128893497546,0.6892065645000269
A00050.pgm,10.0,14.828427076339722,189.83333333333334,111.22412308287961,255,0,11475.0,45.0,0.823532125611294,0.6781819784156395
A00051.pgm,11.5,14.242640614509583,190.57894736842104,110.80296204926998,255,0,10476.25,41.083333333333336,0.838891366530311,0.6882837844241535
A00052.pgm,12.5,16.242640614509583,196.203007518797,107.40645584820368,255,0,10665.476190476189,41.82539682539682,0.835981358372402,0.7032659656151024
A00053.pgm,13.5,16.242640614509583,189.9078947368421,111.18230378308967,255,0,10837.5,42.5,0.8333358964106665,0.683683288889068
A00054.pgm,15.5,18.242640614509583,197.625,106.48349343912417,255,0,11857.5,46.5,0.8176498631316703,0.6985278637753745
A00055.pgm,11.0,14.828427076339722,193.8,108.90619817071939,255,0,9924.868421052632,38.921052631578945,0.8473707682918735,0.7021731206851644
A00056.pgm,2.0,5.656854152679443,200.06802721088437,104.83382768324522,255,0,10837.5,42.5,0.8333358964106665,0.7148807045715443
A00057.pgm,10.0,14.828427076339722,193.5,109.08826701346025,255,0,12192.1875,47.8125,0.8125028834619998,0.6829966141936576
A00058.pgm,11.0,14.828427076339722,189.125,111.61814088668562,255,0,11475.0,45.0,0.823532125611294,0.6762019927123084
A00059.pgm,12.5,16.242640614509583,187.70833333333334,112.38864087274222,255,0,11475.0,45.0,0.823532125611294,0.6723017323919094
A00060.pgm,13.5,16.242640614509583,190.9126984126984,110.61229443429947,255,0,11292.857142857143,44.285714285714285,0.8263332029825433,0.6825716143103876
A00061.pgm,140.0,97.25483322143555,191.72932330827066,110.14011089227046,255,0,11353.571428571428,44.52380952380952,0.8253995105254601,0.6850268453028598
A00062.pgm,11.0,14.828427076339722,189.83333333333334,111.22412308287961,255,0,11475.0,45.0,0.823532125611294,0.6781819784156395
